,image,inference time,label,index,value,boxes
0,/home/pi/sambashare/BacArbeit/cocoval2017/000000571718.jpg,0.6601106630114373,"['0: person', '46: banana', '0: person', '46: banana']","[0, 46, 0, 46]","[0.42632157, 0.4210867, 0.34735164, 0.28853923]","[[218.74, 9.45, 87.34, 85.46], [228.03, 165.05, 71.57, 66.47], [457.12, 9.67, 179.55, 401.1], [207.38, 236.18, 61.74, 61.44]]"
1,/home/pi/sambashare/BacArbeit/cocoval2017/000000529568.jpg,0.3764505829894915,"['45: bowl', '58: potted plant', '75: vase', '45: bowl', '60: dining table', '41: cup', '69: oven', '0: person', '41: cup']","[45, 58, 75, 45, 60, 41, 69, 0, 41]","[0.6857782, 0.5422224, 0.48932424, 0.30904678, 0.30487743, 0.2950148, 0.2884132, 0.27038148, 0.26003638]","[[67.58, 460.24, 30.02, 23.72], [1, 353.41, 64.29, 136.58], [1, 425.44, 19.47, 71.76], [459.24, 240.25, 20.76, 50.46], [2.38, 418.96, 219.61, 220.11], [415.44, 243.57, 40.44, 48.54], [131.84, 381.39, 100.79, 212.54], [295.41, 322.67, 64.13, 58.43], [66.02, 223.09, 15.15, 29.66]]"
2,/home/pi/sambashare/BacArbeit/cocoval2017/000000468577.jpg,0.37566471702302806,"['15: cat', '59: bed']","[15, 59]","[0.33055294, 0.26889518]","[[89.95, 297.44, 126.1, 70.59], [22.33, 258.62, 589.67, 293.27]]"
3,/home/pi/sambashare/BacArbeit/cocoval2017/000000151516.jpg,0.3764530190092046,['14: bird'],[14],[0.6630872],"[[200.1, 231.44, 266.98, 80.55]]"
4,/home/pi/sambashare/BacArbeit/cocoval2017/000000350122.jpg,0.37598178497864865,"['0: person', '0: person', '0: person', '0: person', '0: person', '0: person', '0: person', '0: person', '0: person', '0: person', '0: person', '0: person', '6: train', '24: backpack', '6: train', '0: person', '0: person', '0: person']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 24, 6, 0, 0, 0]","[0.6970061, 0.5238867, 0.49298504, 0.46922347, 0.4643761, 0.42176968, 0.40899387, 0.37074974, 0.3684686, 0.3629432, 0.35410976, 0.3113775, 0.30996567, 0.29520318, 0.28965455, 0.28635204, 0.28258204, 0.25445688]","[[535.39, 248.6, 20.11, 53.21], [204.93, 214.49, 51.13, 145.76], [29.97, 202.43, 71.24, 74.98], [245.3, 214.42, 32.43, 62.68], [369.39, 238.95, 25.38, 38.29], [482.39, 263.4, 17.24, 42.33], [514.8, 252.77, 18.33, 53.42], [204.51, 219.01, 49.13, 58.6], [496.3, 256.74, 21.92, 52.01], [447.75, 256.81, 20.18, 52.62], [472.65, 266.09, 18.79, 38.6], [89.06, 198.75, 43.86, 80.05], [1, 137.94, 187.61, 146.44], [308.02, 244.4, 37.74, 34.99], [226.25, 182.79, 135.17, 85.14], [144.9, 236.23, 47.3, 126.52], [394.89, 242.04, 24.12, 33.2], [341.79, 242.58, 26.73, 38.07]]"
5,/home/pi/sambashare/BacArbeit/cocoval2017/000000104803.jpg,0.38141430902760476,"['40: wine glass', '41: cup']","[40, 41]","[0.42216212, 0.2840277]","[[23.16, 32.71, 263.55, 450.95], [306.15, 287.73, 51.01, 104.1]]"
6,/home/pi/sambashare/BacArbeit/cocoval2017/000000288762.jpg,0.38215846501407214,['58: potted plant'],[58],[0.26328987],"[[55.01, 13.18, 570.58, 411.82]]"
7,/home/pi/sambashare/BacArbeit/cocoval2017/000000150638.jpg,0.3760097949998453,"['39: bottle', '41: cup', '41: cup', '39: bottle', '0: person', '0: person', '0: person', '39: bottle', '68: microwave', '45: bowl', '39: bottle', '28: suitcase']","[39, 41, 41, 39, 0, 0, 0, 39, 68, 45, 39, 28]","[0.77814895, 0.707999, 0.684663, 0.6765138, 0.5024982, 0.45517936, 0.405962, 0.37907815, 0.3718715, 0.35981175, 0.3027964, 0.26417553]","[[385.0, 112.13, 53.33, 129.6], [511.49, 175.61, 43.94, 76.57], [358.63, 246.64, 51.78, 73.71], [548.26, 123.23, 48.73, 99.31], [186.74, 1, 147.28, 103.3], [494.13, 1, 84.55, 71.6], [153.16, 5.82, 31.98, 56.27], [464.08, 99.16, 47.18, 70.47], [553.67, 205.5, 85.87, 219.49], [611.77, 66.43, 28.09, 25.95], [568.45, 100.66, 19.1, 43.41], [1, 53.67, 151.71, 349.94]]"
8,/home/pi/sambashare/BacArbeit/cocoval2017/000000496722.jpg,0.3764784990053158,['2: car'],[2],[0.43559977],"[[283.24, 154.41, 17.02, 7.63]]"
9,/home/pi/sambashare/BacArbeit/cocoval2017/000000167898.jpg,0.37804665401927195,"['71: sink', '61: toilet', '39: bottle']","[71, 61, 39]","[0.7980213, 0.5158323, 0.49191332]","[[248.74, 179.44, 214.61, 96.18], [343.52, 269.92, 274.02, 210.08], [435.51, 81.06, 23.31, 72.11]]"
